Tanggal,No_Invoice,Vendor,Total,Deskripsi,Dicatat_Oleh
30-07-2007,4572,"Berghotel Grosse Scheidegg",54.5,"Makanan dan minuman","Siti"
30-07-2007,4572,"Berghotel Grosse Scheidegg",55,"Makanan dan minuman","Admin"
